Date,Ticker,Action,Strike,Qty,Price,Total_Flow,Realized_PnL,Notes
2000-02-15,QCOM,SELL_PUT,55.96,1,7.14,713.91,0.0,IV: 107.06%
2000-02-15,AMD,SELL_PUT,19.44,2,1.84,367.04,0.0,IV: 84.73%
2000-02-15,VRTX,SELL_PUT,23.61,1,2.17,216.88,0.0,IV: 83.11%
2000-02-15,ADBE,SELL_PUT,19.86,2,1.73,345.17,0.0,IV: 80.15%
2000-02-15,AMGN,SELL_PUT,58.16,1,4.82,482.19,0.0,IV: 77.70%
2000-02-15,DIS,SELL_PUT,32.89,1,2.52,252.03,0.0,IV: 71.52%
2000-02-15,AMAT,SELL_PUT,37.63,1,2.64,263.63,0.0,IV: 67.50%
2000-02-15,MU,SELL_PUT,31.19,1,2.08,208.14,0.0,IV: 65.43%
2000-02-15,INTC,SELL_PUT,50.63,1,3.19,318.75,0.0,IV: 63.08%
2000-02-15,TXN,SELL_PUT,61.68,1,3.72,371.71,0.0,IV: 59.13%
2000-02-15,COST,SELL_PUT,45.14,1,2.63,262.96,0.0,IV: 57.88%
2000-02-15,WMT,SELL_PUT,17.67,2,0.94,187.68,0.0,IV: 54.71%
2000-02-17,AMAT,BTC_PROFIT,37.63,1,1.29,129.42,132.91,Profit: 50.9%
2000-02-17,AMAT,SELL_PUT,42.57,1,2.96,295.81,0.0,IV: 67.17%
2000-02-23,AMGN,BTC_PROFIT,58.16,1,2.23,222.8,258.09,Profit: 53.8%
2000-02-23,AMGN,SELL_PUT,64.58,1,5.01,500.9,0.0,IV: 72.08%
2000-02-24,ADBE,BTC_PROFIT,19.86,2,0.53,106.11,236.46,Profit: 69.3%
2000-02-24,TXN,BTC_PROFIT,61.68,1,1.47,146.92,223.48,Profit: 60.5%
2000-02-24,ADBE,SELL_PUT,23.77,1,1.96,196.24,0.0,IV: 77.44%
2000-02-24,TXN,SELL_PUT,71.31,1,4.97,496.57,0.0,IV: 67.16%
2000-03-03,TXN,BTC_PROFIT,71.31,1,1.83,183.2,312.07,Profit: 63.1%
2000-03-03,TXN,SELL_PUT,84.81,1,6.66,665.74,0.0,IV: 72.63%
2000-03-09,QCOM,BTC_PROFIT,55.96,1,2.84,284.1,428.51,Profit: 60.2%
2000-03-09,AMD,BTC_PROFIT,19.44,2,0.14,27.74,336.7,Profit: 92.4%
2000-03-09,VRTX,BTC_PROFIT,23.61,1,1.08,108.11,107.47,Profit: 50.2%
2000-03-09,DIS,BTC_PROFIT,32.89,1,0.74,73.78,176.95,Profit: 70.7%
2000-03-09,MU,BTC_PROFIT,31.19,1,0.09,9.49,197.35,Profit: 95.4%
2000-03-09,INTC,BTC_PROFIT,50.63,1,0.35,34.64,282.81,Profit: 89.1%
2000-03-09,VRTX,SELL_PUT,28.4,1,4.43,442.59,0.0,IV: 126.28%
2000-03-09,MU,SELL_PUT,48.61,1,5.33,533.18,0.0,IV: 96.22%
2000-03-09,AMD,SELL_PUT,25.98,1,2.51,251.43,0.0,IV: 86.07%
2000-03-09,QCOM,SELL_PUT,56.77,1,5.39,539.02,0.0,IV: 84.94%
2000-03-09,SLB,SELL_PUT,35.02,1,2.14,213.97,0.0,IV: 59.62%
2000-03-09,HD,SELL_PUT,50.56,1,2.56,255.54,0.0,IV: 53.01%
2000-03-13,AMAT,BTC_PROFIT,42.57,1,1.35,135.02,159.49,Profit: 54.4%
2000-03-13,AMAT,SELL_PUT,42.48,1,2.63,262.56,0.0,IV: 62.30%
2000-03-16,COST,BTC_PROFIT,45.14,1,0.67,66.74,194.91,Profit: 74.6%
2000-03-16,HD,BTC_PROFIT,50.56,1,1.13,112.64,141.61,Profit: 55.9%
2000-03-16,COST,SELL_PUT,50.02,1,4.41,441.03,0.0,IV: 80.80%
2000-03-16,MRK,SELL_PUT,56.7,1,3.46,345.59,0.0,IV: 59.47%
2000-03-17,QCOM,BTC_PROFIT,56.77,1,2.37,237.45,300.27,Profit: 55.9%
2000-03-17,QCOM,SELL_PUT,61.59,1,4.63,462.99,0.0,IV: 70.52%
2000-03-24,WMT,BTC_PROFIT,17.67,2,0.44,87.56,97.52,Profit: 53.3%
2000-03-24,WMT,SELL_PUT,16.72,2,1.14,227.05,0.0,IV: 66.10%
2000-03-27,ADBE,BTC_PROFIT,23.77,1,0.82,82.09,112.85,Profit: 58.2%
2000-03-27,ADBE,SELL_PUT,25.11,1,3.19,318.69,0.0,IV: 106.51%
2000-04-03,AMD,BTC_PROFIT,25.98,1,1.24,123.75,126.38,Profit: 50.8%
2000-04-03,SLB,BTC_PROFIT,35.02,1,0.69,69.15,143.52,Profit: 67.7%
2000-04-03,WMT,BTC_PROFIT,16.72,2,0.44,87.9,136.55,Profit: 61.3%
2000-04-03,AMD,SELL_PUT,26.9,1,2.89,288.64,0.0,IV: 94.67%
2000-04-03,MSFT,SELL_PUT,41.08,1,2.93,293.13,0.0,IV: 68.11%
2000-04-03,GS,SELL_PUT,95.38,1,6.36,636.21,0.0,IV: 65.24%
2000-04-05,MU,BTC_PROFIT,48.61,1,2.03,202.85,329.03,Profit: 62.0%
2000-04-05,AMAT,BTC_PROFIT,42.48,1,0.91,91.31,169.95,Profit: 65.2%
2000-04-05,MU,SELL_PUT,57.23,1,9.23,922.61,0.0,IV: 129.35%
2000-04-05,AMAT,SELL_PUT,46.57,1,3.56,355.99,0.0,IV: 73.51%
2000-04-07,AMD,BTC_PROFIT,26.9,1,1.26,125.58,161.76,Profit: 56.5%
2000-04-07,AMD,SELL_PUT,33.36,1,3.7,369.77,0.0,IV: 96.78%
2000-04-10,AMGN,EXPIRED_ASSIGNED,64.58,1,0.0,0.0,500.25,Assigned Shares
2000-04-10,AMGN,STOCK_BUY_ASSIGN,0.0,100,58.88,-588750.0,0.0,Bought at Strike 64.58
2000-04-10,MRK,BTC_PROFIT,56.7,1,1.44,144.14,200.15,Profit: 58.3%
2000-04-10,QCOM,BTC_PROFIT,61.59,1,1.85,185.32,276.38,Profit: 60.0%
2000-04-10,AMGN,SELL_CALL,72.85,1,2.91,291.3,0.0,Covered Call
2000-04-10,QCOM,SELL_PUT,63.82,1,4.66,465.53,0.0,IV: 69.04%
2000-04-10,MS,SELL_PUT,80.23,1,5.31,530.62,0.0,IV: 64.85%
2000-04-11,COST,BTC_PROFIT,50.02,1,1.7,170.41,269.32,Profit: 61.4%
2000-04-11,COST,SELL_PUT,51.35,1,4.25,424.57,0.0,IV: 77.32%
2000-04-14,AMGN,BTC_PROFIT,72.85,1,1.35,134.79,155.21,Profit: 53.7%
2000-04-14,AMGN,SELL_CALL,65.8,1,2.66,266.0,0.0,Covered Call
2000-04-17,TXN,EXPIRED_ASSIGNED,84.81,1,0.0,0.0,665.09,Assigned Shares
2000-04-17,TXN,STOCK_BUY_ASSIGN,0.0,100,74.5,-745000.0,0.0,Bought at Strike 84.81
2000-04-17,TXN,SELL_CALL,89.17,1,3.26,326.13,0.0,Covered Call
2000-04-24,VRTX,EXPIRED_ASSIGNED,28.4,1,0.0,0.0,441.94,Assigned Shares
2000-04-24,VRTX,STOCK_BUY_ASSIGN,0.0,100,22.75,-227500.0,0.0,Bought at Strike 28.4
2000-04-24,VRTX,SELL_CALL,32.98,1,1.65,164.71,0.0,Covered Call
2000-04-25,ADBE,BTC_PROFIT,25.11,1,1.17,117.28,200.11,Profit: 63.2%
2000-04-25,ADBE,SELL_PUT,26.52,1,3.54,353.92,0.0,IV: 110.40%
2000-04-28,MU,BTC_PROFIT,57.23,1,4.43,443.43,477.88,Profit: 51.9%
2000-04-28,MU,SELL_PUT,60.86,1,9.66,965.8,0.0,IV: 127.97%
2000-05-01,AMD,BTC_PROFIT,33.36,1,0.56,55.6,312.87,Profit: 85.0%
2000-05-01,AMD,SELL_PUT,39.5,1,3.73,373.17,0.0,IV: 84.65%
2000-05-10,TXN,BTC_PROFIT,89.17,1,0.21,20.52,304.31,Profit: 93.7%
2000-05-10,TXN,SELL_CALL,78.18,1,2.62,262.44,0.0,Covered Call
2000-05-18,MSFT,EXPIRED_ASSIGNED,41.08,1,0.0,0.0,292.48,Assigned Shares
2000-05-18,MSFT,STOCK_BUY_ASSIGN,0.0,100,33.09,-330937.5,0.0,Bought at Strike 41.08
2000-05-18,GS,EXPIRED_ASSIGNED,95.38,1,0.0,0.0,635.56,Assigned Shares
2000-05-18,GS,STOCK_BUY_ASSIGN,0.0,100,85.25,-852500.0,0.0,Bought at Strike 95.38
2000-05-18,AMGN,BTC_PROFIT,65.8,1,1.18,118.0,146.7,Profit: 55.6%
2000-05-18,MSFT,SELL_CALL,38.61,1,1.3,130.1,0.0,Covered Call
2000-05-18,GS,SELL_CALL,102.9,1,3.93,393.49,0.0,Covered Call
2000-05-18,AMGN,SELL_CALL,71.39,1,2.42,241.7,0.0,Covered Call
2000-05-22,AMAT,EXPIRED_ASSIGNED,46.57,1,0.0,0.0,355.34,Assigned Shares
2000-05-22,AMAT,STOCK_BUY_ASSIGN,0.0,100,39.66,-396562.5,0.0,Bought at Strike 46.57
2000-05-22,AMAT,SELL_CALL,51.87,1,2.33,232.5,0.0,Covered Call
2000-05-23,AMGN,BTC_PROFIT,71.39,1,0.89,88.78,151.62,Profit: 63.3%
2000-05-23,AMGN,SELL_CALL,64.82,1,2.18,217.96,0.0,Covered Call
2000-05-24,GS,BTC_PROFIT,102.9,1,1.65,164.98,227.21,Profit: 58.1%
2000-05-24,GS,SELL_CALL,94.95,1,3.44,343.93,0.0,Covered Call
2000-05-25,QCOM,EXPIRED_ASSIGNED,63.82,1,0.0,0.0,464.88,Assigned Shares
2000-05-25,QCOM,STOCK_BUY_ASSIGN,0.0,100,34.5,-345000.0,0.0,Bought at Strike 63.82
2000-05-25,MS,EXPIRED_ASSIGNED,80.23,1,0.0,0.0,529.97,Assigned Shares
2000-05-25,MS,STOCK_BUY_ASSIGN,0.0,100,64.0,-640000.0,0.0,Bought at Strike 80.23
2000-05-25,MU,BTC_PROFIT,60.86,1,4.74,474.34,490.17,Profit: 50.9%
2000-05-25,MSFT,BTC_PROFIT,38.61,1,0.56,55.65,73.15,Profit: 57.2%
2000-05-25,MSFT,SELL_CALL,35.88,1,1.21,121.09,0.0,Covered Call
2000-05-25,QCOM,SELL_CALL,44.43,1,1.91,191.22,0.0,Covered Call
2000-05-25,MS,SELL_CALL,75.96,1,2.61,260.77,0.0,Covered Call
2000-05-25,MU,SELL_PUT,57.12,1,6.47,647.01,0.0,IV: 98.38%
2000-05-26,COST,EXPIRED_ASSIGNED,51.35,1,0.0,0.0,423.92,Assigned Shares
2000-05-26,COST,STOCK_BUY_ASSIGN,0.0,100,30.88,-308750.0,0.0,Bought at Strike 51.35
2000-05-26,GS,BTC_PROFIT,94.95,1,1.18,117.92,224.71,Profit: 65.7%
2000-05-26,GS,SELL_CALL,83.56,1,2.97,297.47,0.0,Covered Call
2000-05-26,COST,SELL_CALL,38.52,1,1.57,157.13,0.0,Covered Call
2000-05-30,ADBE,BTC_PROFIT,26.52,1,1.28,127.73,224.89,Profit: 63.9%
2000-05-30,ADBE,SELL_PUT,25.76,1,3.34,333.69,0.0,IV: 108.14%
2000-05-31,MU,BTC_PROFIT,57.12,1,2.78,277.99,367.72,Profit: 57.0%
2000-05-31,MU,SELL_PUT,62.52,1,5.18,518.06,0.0,IV: 77.58%
2000-06-02,AMD,BTC_PROFIT,39.5,1,1.12,112.45,259.42,Profit: 69.9%
2000-06-02,MU,BTC_PROFIT,62.52,1,2.32,232.38,284.38,Profit: 55.1%
2000-06-02,AMD,SELL_PUT,40.28,1,3.74,374.09,0.0,IV: 83.65%
2000-06-02,MU,SELL_PUT,71.65,1,5.48,547.91,0.0,IV: 71.30%
2000-06-08,VRTX,CALLED_AWAY,32.98,1,0.0,0.0,164.06,Shares Sold
2000-06-08,VRTX,STOCK_SELL_CALL,0.0,100,40.25,402500.0,0.0,Sold at Strike 32.98
2000-06-08,VRTX,SELL_PUT,35.98,1,3.49,349.1,0.0,IV: 86.15%
2000-06-14,AMAT,BTC_PROFIT,51.87,1,1.03,103.39,127.81,Profit: 55.5%
2000-06-14,AMAT,SELL_CALL,53.25,1,2.07,207.24,0.0,Covered Call
2000-06-16,VRTX,BTC_PROFIT,35.98,1,1.71,171.18,176.62,Profit: 51.0%
2000-06-16,VRTX,SELL_PUT,40.23,1,3.67,367.15,0.0,IV: 82.59%
2000-06-19,QCOM,BTC_PROFIT,44.43,1,0.61,61.23,128.68,Profit: 68.0%
2000-06-19,COST,BTC_PROFIT,38.52,1,0.67,66.83,89.0,Profit: 57.5%
2000-06-19,QCOM,SELL_CALL,43.62,1,2.06,205.63,0.0,Covered Call
2000-06-19,COST,SELL_CALL,39.27,1,1.5,149.75,0.0,Covered Call
2000-06-22,ADBE,BTC_PROFIT,25.76,1,0.94,94.1,238.29,Profit: 71.8%
2000-06-22,ADBE,SELL_PUT,27.06,1,2.36,236.28,0.0,IV: 80.21%
2000-06-23,TXN,BTC_PROFIT,78.18,1,0.33,32.78,228.36,Profit: 87.5%
2000-06-23,TXN,SELL_CALL,89.91,1,3.22,322.14,0.0,Covered Call
2000-06-26,MU,BTC_PROFIT,71.65,1,0.79,79.0,467.61,Profit: 85.6%
2000-06-26,MU,SELL_PUT,80.63,1,5.15,515.37,0.0,IV: 63.55%
2000-06-29,QCOM,BTC_PROFIT,43.62,1,0.98,98.0,106.33,Profit: 52.3%
2000-06-29,TXN,BTC_PROFIT,89.91,1,1.32,131.91,188.93,Profit: 59.1%
2000-06-29,QCOM,SELL_CALL,40.84,1,1.84,183.76,0.0,Covered Call
2000-06-29,TXN,SELL_CALL,81.89,1,3.01,301.39,0.0,Covered Call
2000-07-07,AMGN,CALLED_AWAY,64.82,1,0.0,0.0,217.31,Shares Sold
2000-07-07,AMGN,STOCK_SELL_CALL,0.0,100,73.94,739375.0,0.0,Sold at Strike 64.82
2000-07-07,AMAT,BTC_PROFIT,53.25,1,0.82,81.53,124.42,Profit: 60.7%
2000-07-07,QCOM,BTC_PROFIT,40.84,1,0.84,84.48,97.98,Profit: 54.0%
